SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
JSWENERGY,515.0,518.0,507.2,511.65,683434
LICHSGFIN,539.9,544.3,536.1,536.4,591435
ATUL,6210.0,6210.0,6137.5,6142.0,2469
KFINTECH,1070.2,1076.4,1060.8,1067.4,504714
NCC,158.29,159.12,157.2,157.22,888684
JPPOWER,17.47,17.54,17.34,17.35,9727371
NH,1941.0,1953.2,1914.0,1922.8,124097
ITC,343.0,344.55,339.6,339.95,15937317
PRAJIND,324.4,324.95,321.2,322.0,316954
SBIN,1022.7,1022.7,1008.55,1011.25,3682536
SONACOMS,474.0,478.75,472.25,472.9,371896
TATACOMM,1804.0,1804.1,1785.5,1791.0,95222
FIVESTAR,534.95,537.0,529.95,531.65,268279
KIMS,625.8,630.0,622.5,624.2,660645
IFCI,51.99,52.1,51.52,51.71,1527671
ATHERENERG,697.85,698.45,683.5,689.0,771250
WHIRLPOOL,878.45,883.25,870.0,871.6,245946
AMBER,6698.0,6723.0,6647.0,6654.5,51560
GRASIM,2880.0,2880.0,2841.2,2842.3,104983
BAJFINANCE,973.05,976.45,965.5,969.4,4017592
MARICO,776.0,779.15,772.35,772.75,1040424
COCHINSHIP,1601.0,1605.5,1590.1,1592.2,240585
ABBOTINDIA,28600.0,28600.0,28200.0,28210.0,2413
SUZLON,53.3,53.69,52.95,53.01,21946025
ASIANPAINT,2845.8,2854.7,2817.7,2822.6,293505
UBL,1582.0,1585.3,1570.6,1577.1,25702
GODIGIT,342.9,342.9,339.95,340.0,40242
WAAREEENER,2644.0,2662.0,2607.7,2612.4,863384
MOTHERSON,120.7,121.27,119.73,119.8,5805421
CHOLAFIN,1809.8,1809.8,1778.1,1790.1,299925
HAVELLS,1503.9,1512.8,1486.6,1489.0,264468
SHYAMMETL,834.0,839.95,824.0,826.0,23474
WELSPUNLIV,129.46,129.68,127.25,128.35,620681
PHOENIXLTD,1944.5,1965.0,1932.5,1933.9,279341
SUPREMEIND,3612.6,3655.1,3603.1,3605.2,49497
TRIVENI,375.0,376.1,369.75,370.85,56980
ADANIPORTS,1473.2,1480.4,1459.0,1460.3,688985
RPOWER,35.17,35.24,34.8,34.84,8720294
FINPIPE,180.05,180.99,178.6,179.06,134231
ONGC,240.21,241.68,239.05,239.72,4671439
GAIL,169.4,170.14,167.7,167.86,2988059
SIEMENS,3120.0,3138.4,3096.5,3100.0,79779
CAMPUS,261.8,261.8,258.1,258.5,60052
POONAWALLA,478.0,481.95,473.25,474.9,343153
AEGISVOPAK,239.7,241.04,236.5,237.4,114773
JSL,863.15,884.0,852.7,853.0,460907
FORCEMOT,20805.0,21010.0,20605.0,20700.0,30828
IOC,164.1,165.0,162.36,162.44,4717083
HINDPETRO,483.0,485.05,476.8,477.75,1291528
ADANIPOWER,147.55,148.4,145.9,146.13,4301960
DATAPATTNS,2670.0,2685.3,2647.7,2653.0,65128
SAILIFE,976.1,983.35,962.5,966.65,182972
INDIANB,861.5,863.9,852.0,853.05,881978
BHARTIHEXA,1775.0,1783.4,1755.0,1771.1,47443
NSLNISP,45.6,46.37,45.06,45.17,1890458
PAYTM,1331.9,1339.0,1318.0,1318.5,924491
STARHEALTH,450.0,453.0,444.0,447.25,1366907
EXIDEIND,363.8,364.25,360.0,360.05,561543
ASTERDM,627.8,627.8,616.4,619.2,134222
ACE,936.0,938.8,925.5,927.35,71557
HEG,637.0,637.2,626.0,630.85,860190
PETRONET,293.5,299.8,291.1,292.2,3746010
GODREJCP,1273.9,1273.9,1237.0,1240.8,853530
APTUS,286.6,286.6,281.9,284.05,290038
BHARTIARTL,2095.6,2103.8,2077.0,2082.7,2124424
NTPC,349.55,351.35,346.3,347.05,2413532
DRREDDY,1252.6,1265.0,1240.0,1242.8,568870
CHAMBLFERT,474.15,474.6,467.5,469.1,328038
BLUEDART,5556.0,5558.0,5450.5,5499.0,21669
USHAMART,453.95,455.4,446.4,450.0,178001
TRENT,4050.0,4071.5,3988.2,4003.8,1010794
PNBHOUSING,1007.0,1010.65,985.25,996.95,691758
ICICIGI,2015.0,2021.5,1986.9,1988.3,252085
M&M,3800.0,3808.6,3740.5,3744.5,435683
BATAINDIA,945.9,946.05,934.0,935.6,37339
THERMAX,3100.0,3100.5,3020.0,3053.7,47366
